Country,"Density
(P/Km2)",Land Area(Km2),Calling Code,Capital/Major City,GDP,Official language,Population,Urban_population,Latitude,Longitude
Afghanistan,60,"652,230",93.0,Kabul,"$19,101,353,833 ",Pashto,"38,041,754","9,797,273",33.93911,67.709953
Albania,105,"28,748",355.0,Tirana,"$15,278,077,447 ",Albanian,"2,854,191","1,747,593",41.153332,20.168331
Algeria,18,"2,381,741",213.0,Algiers,"$169,988,236,398 ",Arabic,"43,053,054","31,510,100",28.033886,1.659626
Andorra,164,468,376.0,Andorra la Vella,"$3,154,057,987 ",Catalan,"77,142","67,873",42.506285,1.521801
Angola,26,"1,246,700",244.0,Luanda,"$94,635,415,870 ",Portuguese,"31,825,295","21,061,025",-11.202692,17.873887
Antigua and Barbuda,223,443,1.0,"St. John's, Saint John","$1,727,759,259 ",English,"97,118","23,800",17.060816,-61.796428
Argentina,17,"2,780,400",54.0,Buenos Aires,"$449,663,446,954 ",Spanish,"44,938,712","41,339,571",-38.416097,-63.616672
Armenia,104,"29,743",374.0,Yerevan,"$13,672,802,158 ",Armenian,"2,957,731","1,869,848",40.069099,45.038189
Australia,3,"7,741,220",61.0,Canberra,"$1,392,680,589,329 ",None,"25,766,605","21,844,756",-25.274398,133.775136
Austria,109,"83,871",43.0,Vienna,"$446,314,739,528 ",German,"8,877,067","5,194,416",47.516231,14.550072
Azerbaijan,123,"86,600",994.0,Baku,"$39,207,000,000 ",Azerbaijani language,"10,023,318","5,616,165",40.143105,47.576927
The Bahamas,39,"13,880",1.0,"Nassau, Bahamas","$12,827,000,000 ",English,"389,482","323,784",25.03428,-77.39628
Bahrain,"2,239",765,973.0,Manama,"$38,574,069,149 ",Arabic,"1,501,635","1,467,109",26.0667,50.5577
Bangladesh,"1,265","148,460",880.0,Dhaka,"$302,571,254,131 ",Bengali,"167,310,838","60,987,417",23.684994,90.356331
Barbados,668,430,1.0,Bridgetown,"$5,209,000,000 ",English,"287,025","89,431",13.193887,-59.543198
Belarus,47,"207,600",375.0,Minsk,"$63,080,457,023 ",Russian,"9,466,856","7,482,982",53.709807,27.953389
Belgium,383,"30,528",32.0,City of Brussels,"$529,606,710,418 ",French,"11,484,055","11,259,082",50.503887,4.469936
Belize,17,"22,966",501.0,Belmopan,"$1,879,613,600 ",English,"390,353","179,039",17.189877,-88.49765
Benin,108,"112,622",229.0,Porto-Novo,"$14,390,709,095 ",French,"11,801,151","5,648,149",9.30769,2.315834
